year,neighbourhood,average_house_value
2001,Agincourt North,200388
2001,Agincourt South-Malvern West,203047
2001,Alderwood,259998
2001,Annex,453850
2001,Banbury-Don Mills,371864
2001,Bathurst Manor,304749
2001,Bay Street Corridor,257404
2001,Bayview Village,327644
2001,Bayview Woods-Steeles,343535
2001,Bedford Park-Nortown,565304
2001,Beechborough-Greenbrook,225369
2001,Bendale,182957
2001,Birchcliffe-Cliffside,265705
2001,Black Creek,158483
2001,Blake-Jones,310740
2001,Briar Hill-Belgravia,222086
2001,Bridle Path-Sunnybrook-York Mills,927466
2001,Broadview North,269386
2001,Brookhaven-Amesbury,213227
2001,Cabbagetown-South St.James Town,300213
2001,Caledonia-Fairbank,219771
2001,Casa Loma,596077
2001,Centennial Scarborough,249025
2001,Church-Yonge Corridor,246750
2001,Clairlea-Birchmount,215421
2001,Clanton Park,335119
2001,Cliffcrest,253618
2001,Corso Italia-Davenport,255142
2001,Danforth,283706
2001,Danforth-East York,256205
2001,Don Valley Village,241824
2001,Dorset Park,159187
2001,Dovercourt-Wallace Emerson-Juncti,264116
2001,Downsview-Roding-CFB,231741
2001,Dufferin Grove,278023
2001,East End-Danforth,290457
2001,Edenbridge-Humber Valley,483734
2001,Eglinton East,163419
2001,Elms-Old Rexdale,163039
2001,Englemount-Lawrence,345676
2001,Eringate-Centennial-West Deane,241685
2001,Etobicoke West Mall,187993
2001,Flemingdon Park,126255
2001,Forest Hill North,517466
2001,Forest Hill South,726664
2001,Glenfield-Jane Heights,199043
2001,Greenwood-Coxwell,235168
2001,Guildwood,224425
2001,Henry Farm,224780
2001,High Park North,323536
2001,High Park-Swansea,354207
2001,Highland Creek,260555
2001,Hillcrest Village,240009
2001,Humber Heights-Westmount,272896
2001,Humber Summit,213919
2001,Humbermede,194295
2001,Humewood-Cedarvale,423537
2001,Ionview,174793
2001,Islington-City Centre West,274436
2001,Junction Area,263247
2001,Keelesdale-Eglinton West,196112
2001,Kennedy Park,174518
2001,Kensington-Chinatown,267631
2001,Kingsview Village-The Westway,205572
2001,Kingsway South,512334
2001,L'Amoreaux,395115
2001,Lambton Baby Point,204523
2001,Lansing-Westgate,372579
2001,Lawrence Park North,461393
2001,Lawrence Park South,664712
2001,Leaside-Bennington,489998
2001,Little Portugal,328211
2001,Long Branch,234424
2001,Malvern,156076
2001,Maple Leaf,275374
2001,Markland Wood,269751
2001,Milliken,209609
2001,Mimico,239078
2001,Morningside,173169
2001,Moss Park,248778
2001,Mount Dennis,159374
2001,Mount Olive-Silverstone-Jamestown,153829
2001,Mount Pleasant East,411558
2001,Mount Pleasant West,284459
